link	venue	year	citations	description	institutions	companies	title	authors	num_authors	doi	openalex_id	oa_pdf_url	is_open_access	oa_status	primary_topic	concepts	referenced_works_count	type	source	matched_keywords
https://doi.org/10.1145/3477495.3531992	SIGIR	2022	211	Multimodal Knowledge Graphs (MKGs), which organize visual-text factual knowledge, have recently been successfully applied to tasks such as information retrieval, question answering, and recommendation system. Since most MKGs are far from complete, extensive knowledge graph completion studies have been proposed focusing on the multimodal entity, relation extraction and link prediction. However, different tasks and modalities require changes to the model architecture, and not all images/objects are relevant to text input, which hinders the applicability to diverse real-world scenarios. In this paper, we propose a hybrid transformer with multi-level fusion to address those issues. Specifically, we leverage a hybrid transformer architecture with unified input-output for diverse multimodal knowledge graph completion tasks.	Zhejiang University; Alibaba Group (China)	Alibaba Group (China)	Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion	Xiang Chen; Ningyu Zhang; Lei Li; Shumin Deng; Chuanqi Tan; Changliang Xu; Fei Huang; Luo Si; Huajun Chen	9	https://doi.org/10.1145/3477495.3531992	https://openalex.org/W4229024390	https://arxiv.org/pdf/2205.02357	True	green	Advanced Graph Neural Networks	Computer science; Transformer; Leverage (statistics); Artificial intelligence; Unary operation	66	article	openalex	diverse recommendations [title_and_abstract]
https://doi.org/10.1145/3488560.3498527	WSDM	2022	199	A well-informed recommendation framework could not only help users identify their interested items, but also benefit the revenue of various online platforms (e.g., e-commerce, social media). Traditional recommendation models usually assume that only a single type of interaction exists between user and item, and fail to model the multiplex user-item relationships from multi-typed user behavior data, such as page view, add-to-favourite and purchase. While some recent studies propose to capture the dependencies across different types of behaviors, two important challenges have been less explored: i) Dealing with the sparse supervision signal under target behaviors (e.g., purchase). ii) Capturing the personalized multi-behavior patterns with customized dependency modeling. To tackle the above challenges, we devise a new model CML, Contrastive Meta Learning (CML), to maintain dedicated cross-type behavior dependency for different users.	University of Hong Kong; South China University of Technology; Wilfrid Laurier University; Baidu (China)	Baidu (China)	Contrastive Meta Learning with Behavior Multiplicity for Recommendation	Wei Wei; Chao Huang; Lianghao Xia; Yong Xu; Jiashu Zhao; Dawei Yin	6	https://doi.org/10.1145/3488560.3498527	https://openalex.org/W4212931205	https://arxiv.org/pdf/2202.08523	True	green	Recommender Systems and Techniques	Computer science; Dependency (UML); Empirical research; ENCODE; Social media	53	article	openalex	diverse recommendations [title_and_abstract]
https://doi.org/10.1109/tkde.2021.3068461	IEEE TKDE	2021	188	Graph learning has emerged as a promising technique for multi-view clustering due to its efficiency of learning a unified graph from multiple views. Previous multi-view graph learning methods mainly try to exploit the multi-view consistency to boost learning performance. However, these methods ignore the prevalent multi-view diversity which may be induced by noise, corruptions, or even view-specific attributes. In this paper, we propose to simultaneously and explicitly leverage the multi-view consistency and the multi-view diversity in a unified framework. The consistent parts are further fused to our target graph with a clear clustering structure, on which the cluster label to each instance can be directly allocated without any postprocessing such as <inline-formula><tex-math notation="LaTeX">$k$</tex-math></inline-formula> -means in classical spectral clustering.	Sichuan University; University of Technology Sydney; Harbin Institute of Technology		Measuring Diversity in Graph Learning: A Unified Framework for Structured Multi-View Clustering	Shudong Huang; Ivor W. Tsang; Zenglin Xu; Jiancheng Lv	4	https://doi.org/10.1109/tkde.2021.3068461	https://openalex.org/W3151867486		False	closed	Advanced Graph Neural Networks	Computer science; Cluster analysis; Leverage (statistics); Graph; Exploit	62	article	openalex	diversity [title]
https://doi.org/10.1109/tkde.2022.3176466	IEEE TKDE	2022	162	A High-Dimensional and Incomplete (HDI) tensor is frequently encountered in a big data-related application concerning the complex dynamic interactions among numerous entities. Traditional tensor factorization-based models cannot handle an HDI tensor efficiently, while existing latent factorization of tensors models are all linear models unable to model an HDI tensor&#x0027;s nonlinearity. Motivated by this critical discovery, this paper proposes a Neural Latent Factorization of Tensors model, which provides a novel approach to nonlinear Canonical Polyadic decomposition on an HDI tensor. It is implemented with three-fold interesting ideas: a) adopting the density-oriented modeling principle to build rank-one tensor series with high computational efficiency and affordable storage cost; b) treating each rank-one tensor as a hidden neuron to achieve an efficient neural network structure; and c) developing an adaptive backward propagation (ABP) learning scheme for efficient model training. Experimental results on six HDI tensors from a real system demonstrate that compared with state-of-the-art models, the proposed model achieves significant performance gain in both convergence rate and accuracy.	Chongqing Institute of Green and Intelligent Technology; Nanjing University of Science and Technology		NeuLFT: A Novel Approach to Nonlinear Canonical Polyadic Decomposition on High-Dimensional Incomplete Tensors	Xin Luo; Hao Wu; Zechao Li	3	https://doi.org/10.1109/tkde.2022.3176466	https://openalex.org/W4293107381		False	closed	Tensor decomposition and applications	Tensor (intrinsic definition); Rank (graph theory); Computer science; Nonlinear system; Factorization	75	article	openalex	novel [title]
https://doi.org/10.48550/arXiv.2410.03834	ICLR	2024	143	The rapidly growing number and variety of Large Language Models (LLMs) present significant challenges in efficiently selecting the appropriate LLM for a given query, especially considering the trade-offs between performance and computational cost. Current LLM selection methods often struggle to generalize across new LLMs and different tasks because of their limited ability to leverage contextual interactions among tasks, queries, and LLMs, as well as their dependence on a transductive learning framework. To address these shortcomings, we introduce a novel inductive graph framework, named as GraphRouter, which fully utilizes the contextual information among tasks, queries, and LLMs to enhance the LLM selection process. GraphRouter constructs a heterogeneous graph comprising task, query, and LLM nodes, with interactions represented as edges, which efficiently captures the contextual information between the query's requirements and the LLM's capabilities. Through an innovative edge prediction mechanism, GraphRouter is able to predict attributes (the effect and cost of LLM response) of potential edges, allowing for optimized recommendations that adapt to both existing and newly introduced LLMs without requiring retraining.			GraphRouter: A Graph-based Router for LLM Selections	Tao Feng; Yanzhen Shen; Jiaxuan You	3	https://doi.org/10.48550/arXiv.2410.03834			False		Computer Science	Computer Science	53	JournalArticle	semantic_scholar	diverse recommendation [s2:ICLR]
https://doi.org/10.1145/3477495.3532027	SIGIR	2022	133	Recently micro-videos have become more popular in social media platforms such as TikTok and Instagram. Engagements in these platforms are facilitated by multi-modal recommendation systems. Indeed, such multimedia content can involve diverse modalities, often represented as visual, acoustic, and textual features to the recommender model. Existing works in micro-video recommendation tend to unify the multi-modal channels, thereby treating each modality with equal importance. However, we argue that these approaches are not sufficient to encode item representations with multiple modalities, since the used methods cannot fully disentangle the users' tastes on different modalities.	University of Glasgow		Multi-modal Graph Contrastive Learning for Micro-video Recommendation	Zixuan Yi; Xi Wang; Iadh Ounis; Craig Macdonald	4	https://doi.org/10.1145/3477495.3532027	https://openalex.org/W4284687944	https://eprints.gla.ac.uk/269019/1/269019.pdf	True	green	Recommender Systems and Techniques	Modalities; Computer science; Modality (human–computer interaction); Modal; Recommender system	25	article	openalex	diverse recommendations [title_and_abstract]
https://doi.org/10.1145/3631116	ACM TOIS	2023	129	Mainstream solutions to sequential recommendation represent items with fixed vectors. These vectors have limited capability in capturing items’ latent aspects and users’ diverse preferences. As a new generative paradigm, diffusion models have achieved excellent performance in areas like computer vision and natural language processing. To our understanding, its unique merit in representation generation well fits the problem setting of sequential recommendation. In this article, we make the very first attempt to adapt the diffusion model to sequential recommendation and propose DiffuRec for item representation construction and uncertainty injection.	Wuhan University; Nanyang Technological University		DiffuRec: A Diffusion Model for Sequential Recommendation	Zihao Li; Aixin Sun; Chenliang Li	3	https://doi.org/10.1145/3631116	https://openalex.org/W4390412407		False	closed	Recommender Systems and Techniques	Computer science; Representation (politics); Embedding; Noise (video); Artificial intelligence	77	article	openalex	diverse recommendations [title_and_abstract]
https://doi.org/10.48550/arXiv.2403.02545	ICML	2024	121	Scaling laws play an instrumental role in the sustainable improvement in model quality. Unfortunately, recommendation models to date do not exhibit such laws similar to those observed in the domain of large language models, due to the inefficiencies of their upscaling mechanisms. This limitation poses significant challenges in adapting these models to increasingly more complex real-world datasets. In this paper, we propose an effective network architecture based purely on stacked factorization machines, and a synergistic upscaling strategy, collectively dubbed Wukong, to establish a scaling law in the domain of recommendation. Wukong's unique design makes it possible to capture diverse, any-order of interactions simply through taller and wider layers.			Wukong: Towards a Scaling Law for Large-Scale Recommendation	Buyun Zhang; Liang Luo; Yuxin Chen; Jade Nie; Xi Liu; Daifeng Guo; Yanli Zhao; Shen Li; Yuchen Hao; Yantao Yao; G. Lakshminarayanan; Ellie Wen; Jongsoo Park; M. Naumov; Wenlin Chen	15	https://doi.org/10.48550/arXiv.2403.02545			False		Computer Science	Computer Science	50	JournalArticle;Conference	semantic_scholar	diverse recommendation [s2:ICML]
https://doi.org/10.52202/079017-0839	NeurIPS	2024	117	Sequential recommender systems (SRS) aim to predict users' subsequent choices based on their historical interactions and have found applications in diverse fields such as e-commerce and social media. However, in real-world systems, most users interact with only a handful of items, while the majority of items are seldom consumed. These two issues, known as the long-tail user and long-tail item challenges, often pose difficulties for existing SRS. These challenges can adversely affect user experience and seller benefits, making them crucial to address. Though a few works have addressed the challenges, they still struggle with the seesaw or noisy issues due to the intrinsic scarcity of interactions.			LLM-ESR: Large Language Models Enhancement for Long-tailed Sequential Recommendation	Qidong Liu; Xian Wu; Xiangyu Zhao; Yejing Wang; Zijian Zhang; Feng Tian; Yefeng Zheng	7	https://doi.org/10.52202/079017-0839			False		Computer Science	Computer Science	66	JournalArticle	semantic_scholar	diverse recommendation [s2:NeurIPS]; long-tail recommendation [s2:NeurIPS]
https://doi.org/10.1145/3511019	ACM TOIS	2022	112	Incorporating knowledge graphs (KGs) into recommender systems to provide explainable recommendation has attracted much attention recently. The multi-hop paths in KGs can provide auxiliary facts for improving recommendation performance as well as explainability. However, existing studies may suffer from two major challenges: error propagation and weak explainability. Considering all paths between every user-item pair might involve irrelevant ones, which leads to error propagation of user preferences. Defining meta-paths might alleviate the error propagation, but the recommendation performance would heavily depend on the pre-defined meta-paths.	Institute of Information Engineering; University of Chinese Academy of Sciences; Alibaba Group (China); Chinese Academy of Sciences	Alibaba Group (China)	KR-GCN: Knowledge-Aware Reasoning with Graph Convolution Network for Explainable Recommendation	Ting Ma; Longtao Huang; Qianqian Lu; Songlin Hu	4	https://doi.org/10.1145/3511019	https://openalex.org/W4220770035	https://dl.acm.org/doi/pdf/10.1145/3511019	True	bronze	Recommender Systems and Techniques	Computer science; Knowledge graph; Recommender system; Belief propagation; Graph	29	article	openalex	diversity in recommendation [title_and_abstract]; diversity in recommender systems [title_and_abstract]; diversity-aware recommendation [title_and_abstract]; recommendation diversity [title_and_abstract]
https://www.semanticscholar.org/paper/e8a44417703e9facebf5a630069b7484664d6087	NeurIPS	2021	112	Feature importance (FI) estimates are a popular form of explanation, and they are commonly created and evaluated by computing the change in model confidence caused by removing certain input features at test time. For example, in the standard Sufficiency metric, only the top-k most important tokens are kept. In this paper, we study several under-explored dimensions of FI explanations, providing conceptual and empirical improvements for this form of explanation. First, we advance a new argument for why it can be problematic to remove features from an input when creating or evaluating explanations: the fact that these counterfactual inputs are out-of-distribution (OOD) to models implies that the resulting explanations are socially misaligned. The crux of the problem is that the model prior and random weight initialization influence the explanations (and explanation metrics) in unintended ways.			The Out-of-Distribution Problem in Explainability and Search Methods for Feature Importance Explanations	Peter Hase; Harry Xie; Mohit Bansal	3				False		Computer Science	Computer Science	75	JournalArticle	semantic_scholar	diverse recommendation [s2:NeurIPS]
https://doi.org/10.48550/arXiv.2210.10629	NeurIPS	2022	110	Existing benchmark datasets for recommender systems (RS) either are created at a small scale or involve very limited forms of user feedback. RS models evaluated on such datasets often lack practical values for large-scale real-world applications. In this paper, we describe Tenrec, a novel and publicly available data collection for RS that records various user feedback from four different recommendation scenarios. To be specific, Tenrec has the following five characteristics: (1) it is large-scale, containing around 5 million users and 140 million interactions; (2) it has not only positive user feedback, but also true negative feedback (vs. one-class recommendation); (3) it contains overlapped users and items across four different scenarios; (4) it contains various types of user positive feedback, in forms of clicks, likes, shares, and follows, etc; (5) it contains additional features beyond the user IDs and item IDs.			Tenrec: A Large-scale Multipurpose Benchmark Dataset for Recommender Systems	Guanghu Yuan; Fajie Yuan; Yudong Li; Beibei Kong; Shujie Li; Lei-tai Chen; Min Yang; Chenyun Yu; Bo Hu; Zang Li; Yu Xu; X. Qie	12	https://doi.org/10.48550/arXiv.2210.10629		http://arxiv.org/pdf/2210.10629	True		Computer Science	Computer Science	81	JournalArticle	semantic_scholar	diverse recommendation [s2:NeurIPS]
https://doi.org/10.1109/tkde.2023.3251897	IEEE TKDE	2023	108	In recent years, the <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">m</i> ulti-task learning for <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">k</i> nowledge graph-based <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">r</i> ecommender system, termed MKR, has shown its promising performance and has attracted increasing interest, because a recommendation task and a knowledge graph embedding (KGE) task can help each other to improve the recommendation. However, MKR still has two difficult issues. The first is how fully to capture users’ historical behavior pattern in the recommendation task and how fully to utilize deep multi-relation semantic information in the KGE task. The second is how to deal with datasets with different sparsity. Tackling these challenging issues, this paper proposes an enhanced MKR (EMKR) approach with two novelties.	South China University of Technology; Hanyang University; International Aluminium Institute		Enhanced Multi-Task Learning and Knowledge Graph-Based Recommender System	Min Gao; Jian-Yu Li; Chunhua Chen; Yun Li; Jun Zhang; Zhi‐Hui Zhan	6	https://doi.org/10.1109/tkde.2023.3251897	https://openalex.org/W4323022392		False	closed	Advanced Graph Neural Networks	Computer science; Recommender system; Task (project management); Graph; Relation (database)	63	article	openalex	multi-interest recommendation [title_and_abstract]
https://doi.org/10.1145/3477495.3531889	SIGIR	2022	106	Recently, graph neural networks (GNN) have been successfully applied to recommender systems as an effective collaborative filtering (CF) approach. However, existing GNN-based CF models suffer from noisy user-item interaction data, which seriously affects the effectiveness and robustness in real-world applications. Although there have been several studies on data denoising in recommender systems, they either neglect direct intervention of noisy interaction in the message-propagation of GNN, or fail to preserve the diversity of recommendation when denoising.	Renmin University of China; Alibaba Group (China); Alibaba Group (United States); Bellevue Hospital Center	Alibaba Group (China); Alibaba Group (United States)	Learning to Denoise Unreliable Interactions for Graph Collaborative Filtering	Changxin Tian; Yuexiang Xie; Yaliang Li; Nan Yang; Wayne Xin Zhao	5	https://doi.org/10.1145/3477495.3531889	https://openalex.org/W4284688665		False	closed	Recommender Systems and Techniques	Collaborative filtering; Recommender system; Computer science; Robustness (evolution); Noise reduction	46	article	openalex	diversity in recommendation [title_and_abstract]; diversity in recommender systems [title_and_abstract]; recommendation diversity [title_and_abstract]
https://doi.org/10.1109/tkde.2022.3168775	IEEE TKDE	2022	103	A knowledge graph (KG) consists of a set of interconnected typed entities and their attributes. Recently, KGs are popularly used as the auxiliary information to enable more accurate, explainable, and diverse user preference recommendations. Specifically, existing KG-based recommendation methods target modeling high-order relations/dependencies from long connectivity user-item interactions hidden in KG. However, most of them ignore the cold-start problems (i.e., user cold-start and item cold-start) of recommendation analytics, which restricts their performance in scenarios when involving new users or new items. Inspired by the success of meta-learning on scarce training samples, we propose a novel meta-learning based framework called MetaKG, which encompasses a collaborative-aware meta learner and a knowledge-aware meta learner, to capture <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">meta</i> users’ preference and entities’ knowledge for cold-start recommendations.	Zhejiang University		MetaKG: Meta-Learning on Knowledge Graph for Cold-Start Recommendation	Yuntao Du; Xinjun Zhu; Lu Chen; Ziquan Fang; Yunjun Gao	5	https://doi.org/10.1109/tkde.2022.3168775	https://openalex.org/W4226253567	https://arxiv.org/pdf/2202.03851	True	green	Recommender Systems and Techniques	Computer science; Cold start (automotive); Task (project management); Preference learning; Preference	76	article	openalex	diverse recommendations [title_and_abstract]
https://doi.org/10.1109/tkde.2022.3218994	IEEE TKDE	2022	103	Recommender system usually suffers from severe <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">popularity bias</i> — the collected interaction data usually exhibits quite imbalanced or even long-tailed distribution over items. Such skewed distribution may result from the users’ <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">conformity</i> to the group, which deviates from reflecting users’ true preference. Existing efforts for tackling this issue mainly focus on completely eliminating popularity bias. However, we argue that not all popularity bias is evil. Popularity bias not only results from conformity but also <italic xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink">item quality</i> , which is usually ignored by existing methods.	University of Science and Technology of China; Zhejiang University		Popularity Bias is not Always Evil: Disentangling Benign and Harmful Bias for Recommendation	Zihao Zhao; Jiawei Chen; Sheng Zhou; Xiangnan He; Xuezhi Cao; Fuzheng Zhang; Wei Wu	7	https://doi.org/10.1109/tkde.2022.3218994	https://openalex.org/W4312551924		False	closed	Recommender Systems and Techniques	Popularity; Computer science; Conformity; Leverage (statistics); Quality (philosophy)	60	article	openalex	long-tail recommendation [title_and_abstract]; popularity bias recommendation [title_and_abstract]
https://doi.org/10.1609/aaai.v36i4.20359	AAAI	2022	101	Bundle recommendation aims to recommend the user a bundle of items as a whole. Previous models capture user’s preferences on both items and the association of items. Nevertheless, they usually neglect the diversity of user’s intents on adopting items and fail to disentangle user’s intents in representations. In the real scenario of bundle recommendation, a user’s intent may be naturally distributed in the different bundles of that user (Global view). And a bundle may contain multiple intents of a user (Local view).	Huazhong University of Science and Technology; Beijing Institute of Technology		Multi-View Intent Disentangle Graph Networks for Bundle Recommendation	Sen Zhao; Wei Wei; Ding Zou; Xian-Ling Mao	4	https://doi.org/10.1609/aaai.v36i4.20359	https://openalex.org/W4225868472	https://ojs.aaai.org/index.php/AAAI/article/download/20359/20118	True	diamond	Recommender Systems and Techniques	Bundle; Computer science; Graph; Benchmark (surveying); Benchmarking	39	article	openalex	diversity in recommendation [title_and_abstract]; recommendation diversity [title_and_abstract]
