rank	score	topic	industry	production	impact	reels_fit	title	year	citations	venue	companies	link
38	0.498	core	0.75	0.00	0.32	0.00	Triangle Graph Interest Network for Click-through Rate Prediction	2022	18	WSDM	Alibaba Group (China)	https://doi.org/10.1145/3488560.3498458
39	0.498	adjacent	1.00	0.00	0.42	0.20	STEM: Unleashing the Power of Embeddings for Multi-Task Recommendation	2024	27	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v38i8.28749
40	0.491	adjacent	1.00	0.25	0.18	0.00	A Contrastive Pretrain Model with Prompt Tuning for Multi-center Medication Recommendation	2025	4	ACM TOIS	Tencent (China)	https://doi.org/10.1145/3706631
41	0.490	core	1.00	0.00	0.00	0.00	Multi-Interest Recommendation: A Survey	2026	0	ACM TOIS	Tencent (China)	https://doi.org/10.1145/3789510
42	0.489	core	0.75	0.00	0.37	0.00	Bursting Scientific Filter Bubbles: Boosting Innovation via Novel Author Discovery	2022	26	ACM CHI	Microsoft (United States)	https://doi.org/10.1145/3491102.3501905
43	0.488	adjacent	0.75	0.00	0.54	0.20	FeedRec: News Feed Recommendation with Various User Feedbacks	2022	67	TheWebConf / WWW	Microsoft Research Asia (China)	https://doi.org/10.1145/3485447.3512082
44	0.481	adjacent	1.00	0.25	0.00	0.20	When Top-ranked Recommendations Fail: Modeling Multi-Granular Negative Feedback for Explainable and Robust Video Recommendation	2026	0	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v40i24.39114
45	0.481	adjacent	1.00	0.00	0.42	0.00	Cross-domain knowledge graph chiasmal embedding for multi-domain item-item recommendation	2022	37	IEEE TKDE	Tencent (China); Jingdong (China)	https://doi.org/10.1109/tkde.2022.3151986
46	0.476	adjacent	0.75	0.25	0.46	0.00	Coarse-to-Fine Knowledge-Enhanced Multi-Interest Learning Framework for Multi-Behavior Recommendation	2023	39	ACM TOIS	Huawei Technologies (Canada); Huawei Technologies (China)	https://doi.org/10.1145/3606369
47	0.476	core	0.75	0.00	0.29	0.00	Toward Comprehensive User and Item Representations via Three-tier Attention Network	2021	15	ACM TOIS	Microsoft Research Asia (China)	https://doi.org/10.1145/3446341
48	0.475	adjacent	1.00	0.00	0.39	0.00	Incorporating Link Prediction into Multi-Relational Item Graph Modeling for Session-based Recommendation	2021	33	IEEE TKDE	Tencent (China)	https://doi.org/10.1109/tkde.2021.3111436
49	0.474	adjacent	1.00	0.00	0.27	0.00	On Sampling Collaborative Filtering Datasets	2022	12	WSDM	Meta (United States)	https://doi.org/10.1145/3488560.3498439
50	0.474	core	0.50	0.00	0.50	0.00	Edge-cloud-enabled matrix factorization for diversified APIs recommendation in mashup creation	2021	61	TheWebConf / WWW	Smart Homes; China Telecom (China); China Telecom	https://doi.org/10.1007/s11280-021-00943-x
51	0.472	adjacent	1.00	0.00	0.07	0.20	Curriculum-scheduled knowledge distillation from multiple pre-trained teachers for multi-domain sequential recommendation	2025	1	TheWebConf / WWW	Tencent (China)	https://doi.org/10.1007/s11280-025-01381-9
52	0.470	adjacent	0.75	0.00	0.43	0.20	Distributionally-robust Recommendations for Improving Worst-case User Experience	2022	39	TheWebConf / WWW	Google (United States)	https://doi.org/10.1145/3485447.3512255
53	0.469	adjacent	0.75	0.00	0.54	0.00	A Bi-Step Grounding Paradigm for Large Language Models in Recommendation Systems	2025	32	ACM RecSys	Huawei Technologies (China)	https://doi.org/10.1145/3716393
54	0.467	adjacent	0.75	0.25	0.14	0.20	Exploration in Recommender Systems	2022	3	WSDM	Google (United States)	https://doi.org/10.1145/3488560.3510009
55	0.467	adjacent	0.75	0.25	0.21	0.00	Automatic Controllable Product Copywriting for E-Commerce	2022	7	KDD	Jingdong (China)	https://doi.org/10.1145/3534678.3539171
56	0.466	core	0.75	0.00	0.22	0.00	Toward Bias-Agnostic Recommender Systems: A Universal Generative Framework	2024	7	ACM TOIS	Baidu (China)	https://doi.org/10.1145/3655617
57	0.463	adjacent	1.00	0.00	0.16	0.20	Negative Sampling in Recommendation: A Survey and Future Directions	2026	3	ACM TOIS	Tencent (China)	https://doi.org/10.1145/3793855
58	0.462	core	0.50	0.00	0.58	0.00	You Complete Me: Human-AI Teams and Complementary Expertise	2022	76	ACM CHI	Toyota Industries (United States)	https://doi.org/10.1145/3491102.3517791
59	0.461	core	0.50	0.25	0.07	0.00	Revisiting LightGCN: Unexpected Inflexibility, Inconsistency, and A Remedy Towards Improved Recommendation	2025	1	ACM RecSys	Korea Kacoh (South Korea)	https://doi.org/10.1145/3760763
60	0.460	adjacent	0.75	0.00	0.52	0.00	Multiple Choice Questions based Multi-Interest Policy Learning for Conversational Recommendation	2022	60	TheWebConf / WWW	Jingdong (China)	https://doi.org/10.1145/3485447.3512088
61	0.459	adjacent	0.75	0.25	0.35	0.00	Bilateral Filtering Graph Convolutional Network for Multi-relational Social Recommendation in the Power-law Networks	2021	25	ACM TOIS	NetEase (China)	https://doi.org/10.1145/3469799
62	0.458	core	0.50	0.00	0.40	0.00	Graph Neural Transport Networks with Non-local Attentions for Recommender Systems	2022	32	TheWebConf / WWW	Visa (United States)	https://doi.org/10.1145/3485447.3512162
63	0.455	adjacent	0.75	0.25	0.14	0.00	ANDEA: Anomaly and Novelty Detection, Explanation, and Accommodation	2022	3	KDD	Amazon (Germany)	https://doi.org/10.1145/3534678.3542910
64	0.451	core	0.50	0.00	0.32	0.00	Distributionally-Informed Recommender System Evaluation	2023	17	ACM RecSys	Photon Spot (United States)	https://doi.org/10.1145/3613455
65	0.451	adjacent	0.75	0.25	0.00	0.40	Think before Recommend: Unleashing the Latent Reasoning Power for Sequential Recommendation	2026	0	IEEE TKDE	Alibaba Group (China)	https://doi.org/10.1109/tkde.2026.3694421
66	0.450	adjacent	0.75	0.25	0.29	0.00	Graph-Grounded Goal Planning for Conversational Recommendation	2022	15	IEEE TKDE	Baidu (China)	https://doi.org/10.1109/tkde.2022.3147210
67	0.448	adjacent	1.00	0.00	0.07	0.20	Vague Preference Policy Learning for Conversational Recommendation	2025	1	ACM TOIS	Jingdong (China)	https://doi.org/10.1145/3717831
68	0.448	adjacent	0.75	0.00	0.52	0.00	Investigating Accuracy-Novelty Performance for Graph-based Collaborative Filtering	2022	60	SIGIR	NetEase (China)	https://doi.org/10.1145/3477495.3532005
69	0.447	adjacent	0.75	0.00	0.44	0.00	Cross Pairwise Ranking for Unbiased Item Recommendation	2022	40	TheWebConf / WWW	Huawei Technologies (China)	https://doi.org/10.1145/3485447.3512010
70	0.446	adjacent	0.50	0.00	0.99	0.00	Fused Matrix Factorization with Geographical and Social Influence in Location-Based Social Networks	2021	574	AAAI	AT&T (United States)	https://doi.org/10.1609/aaai.v26i1.8100
71	0.446	adjacent	0.50	0.50	0.33	0.00	RecRanker: Instruction Tuning Large Language Model as Ranker for Top-k Recommendation	2024	16	ACM TOIS	Group Sense (China)	https://doi.org/10.1145/3705728
72	0.445	adjacent	0.00	0.75	0.69	0.20	Tenrec: A Large-scale Multipurpose Benchmark Dataset for Recommender Systems	2022	110	NeurIPS		https://doi.org/10.48550/arXiv.2210.10629
73	0.444	adjacent	1.00	0.00	0.20	0.00	ProbSky: Efficient Computation of Probabilistic Skyline Queries over Distributed Data	2022	6	IEEE TKDE	Meta (United States)	https://doi.org/10.1109/tkde.2022.3151740
74	0.443	adjacent	1.00	0.00	0.22	0.00	Curriculum Conditioned Diffusion for Multimodal Recommendation	2025	6	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v39i12.33422
75	0.442	core	0.75	0.00	0.00	0.00	Report on the 1st Workshop on Human-Centered Recommender Systems (HCRS 2025) at TheWebConf 2025	2025	0	SIGIR	Amazon (United States)	https://doi.org/10.1145/3799914.3799921
76	0.441	core	0.75	0.00	0.11	0.00	Fair-CDA: Continuous and Directional Augmentation for Group Fairness	2023	2	AAAI	Huawei Technologies (Sweden)	https://doi.org/10.1609/aaai.v37i8.26183
77	0.441	core	0.00	0.75	0.07	0.00	Determinantal Point Processes Guided Crowd-wise Mixture-of-Experts for Recommendation in Alipay	2024	1	ACM RecSys		https://doi.org/10.1145/3691357
78	0.441	adjacent	0.75	0.25	0.16	0.00	When Online Meets Offline	2022	4	SIGIR	Alibaba Group (China)	https://doi.org/10.1145/3477495.3531859
79	0.440	adjacent	0.75	0.00	0.47	0.00	Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders	2022	47	SIGIR	Alibaba Group (China)	https://doi.org/10.1145/3477495.3531952
80	0.437	adjacent	1.00	0.00	0.15	0.00	Implicit Multi-Behavior Generative Recommendation With Mixture of Quantization	2025	3	IEEE TKDE	Tencent (China)	https://doi.org/10.1109/tkde.2025.3572014
81	0.436	adjacent	0.75	0.00	0.44	0.00	MM-Rec: Visiolinguistic Model Empowered Multimodal News Recommendation	2022	41	SIGIR	Microsoft Research Asia (China)	https://doi.org/10.1145/3477495.3531896
82	0.435	adjacent	1.00	0.00	0.18	0.00	Multifaceted User Modeling in Recommendation: A Federated Foundation Models Approach	2025	4	AAAI	Kuaishou (China)	https://doi.org/10.1609/aaai.v39i12.33440
83	0.433	adjacent	0.75	0.25	0.00	0.00	Targeted Training for Multi-organization Recommendation	2023	0	ACM RecSys	Microsoft (United States)	https://doi.org/10.1145/3603508
84	0.433	core	0.50	0.00	0.24	0.20	A Versatile Framework for Evaluating Ranked Lists in Terms of Group Fairness and Relevance	2023	9	ACM TOIS	Naver (South Korea)	https://doi.org/10.1145/3589763
85	0.431	adjacent	0.75	0.00	0.49	0.00	Why or Why Not? The Effect of Justification Styles on Chatbot Recommendations	2021	59	ACM TOIS	IBM (United States)	https://doi.org/10.1145/3441715
86	0.431	adjacent	0.50	0.25	0.40	0.00	Designing the Topology of Graph Neural Networks: A Novel Feature Fusion Perspective	2022	32	TheWebConf / WWW	Lenovo (China)	https://doi.org/10.1145/3485447.3512185
87	0.430	core	0.50	0.00	0.19	0.00	Efficient Federated Recommender System with Adaptive Model Pruning and Momentum-based Batch Adjustment	2024	5	ACM RecSys	Shanghai Aerospace Automobile Electromechanical (China)	https://doi.org/10.1145/3704267
88	0.430	core	0.75	0.00	0.00	0.00	CONDEN-FI: Consistency and Diversity Learning-Based Multi-View Unsupervised Feature and Instance Co-Selection	2026	0	IEEE TKDE	Jingdong (China)	https://doi.org/10.1109/tkde.2026.3700726
89	0.430	adjacent	0.75	0.00	0.33	0.00	TaxoCom: Topic Taxonomy Completion with Hierarchical Discovery of Novel Topic Clusters	2022	20	TheWebConf / WWW	Google (United States)	https://doi.org/10.1145/3485447.3512002
90	0.430	core	0.00	0.75	0.22	0.00	Pareto Front-Diverse Batch Multi-Objective Bayesian Optimization	2024	7	AAAI		https://doi.org/10.1609/aaai.v38i10.28951
91	0.428	core	0.00	0.50	0.00	0.40	Balancing the Diversity-Coverage Trade-off in Graph-based Recommendations for Cold-Start Industrial Applications	2026	0	ACM RecSys		https://doi.org/10.1145/3796509
92	0.426	core	0.00	0.25	0.64	0.00	An Empirical Investigation of Personalization Factors on TikTok	2022	94	TheWebConf / WWW		https://doi.org/10.1145/3485447.3512102
93	0.424	core	0.50	0.00	0.00	0.20	A Study of Biases in LLM-Generated Musical Taste Profiles for Recommendation	2026	0	ACM RecSys	Sozvezdie (Russia)	https://doi.org/10.1145/3815194
94	0.424	core	0.50	0.00	0.00	0.20	Rewriting Bias: Automated Rewriting to Reduce Media Bias Polarisation in News Recommender Systems	2025	0	ACM RecSys	Data Fusion International (Ireland)	https://doi.org/10.1145/3767327
95	0.421	core	0.50	0.00	0.17	0.20	Diversifying Sequential Recommendation with Retrospective and Prospective Transformers	2024	4	ACM TOIS	Hisense (China)	https://doi.org/10.1145/3653016
96	0.419	adjacent	0.75	0.00	0.30	0.00	Hierarchical Imitation Learning via Subgoal Representation Learning for Dynamic Treatment Recommendation	2022	16	WSDM	Huawei Technologies (China)	https://doi.org/10.1145/3488560.3498535
97	0.418	core	0.00	0.25	0.51	0.20	User-controllable Recommendation Against Filter Bubbles	2022	58	SIGIR		https://doi.org/10.1145/3477495.3532075
98	0.413	adjacent	1.00	0.00	0.00	0.00	GDiffMAE: Guided Diffusion Enhanced Mask Graph AutoEncoder for Recommendation	2025	0	IEEE TKDE	Kuaishou (China)	https://doi.org/10.1109/tkde.2025.3611270
99	0.412	adjacent	0.75	0.00	0.40	0.00	Who You Would Like to Share With? A Study of Share Recommendation in Social E-commerce	2021	36	AAAI	Alibaba Group (United States)	https://doi.org/10.1609/aaai.v35i1.16097
100	0.411	adjacent	0.75	0.00	0.36	0.00	perCLTV: A General System for Personalized Customer Lifetime Value Prediction in Online Games	2022	25	ACM TOIS	NetEase (China)	https://doi.org/10.1145/3530012
101	0.407	adjacent	1.00	0.00	0.00	0.00	Learning Multiple User Distributions for Recommendation via Guided Conditional Diffusion	2025	0	AAAI	Kuaishou (China)	https://doi.org/10.1609/aaai.v39i12.33401
102	0.407	core	0.50	0.00	0.23	0.00	Towards Hierarchical Intent Disentanglement for Bundle Recommendation	2023	8	IEEE TKDE	Ping An (China)	https://doi.org/10.1109/tkde.2023.3329175
103	0.405	core	0.50	0.00	0.07	0.20	Beyond Accuracy: Decision Transformers for Reward-Driven Multi-Objective Recommendations	2025	1	IEEE TKDE	Telefonica Research and Development	https://doi.org/10.1109/tkde.2025.3582506
104	0.403	adjacent	0.75	0.25	0.00	0.00	RECOSIM: A Universal, Accurate, and Scalable Simulation Framework for Online Community Recommendations	2025	0	ACM TOIS	Microsoft Research Asia (China)	https://doi.org/10.1145/3768342
105	0.403	weak	1.00	0.50	0.00	0.00	Generalizing Graph Transformers Across Diverse Graphs and Tasks via Pre-Training	2025	0	IEEE TKDE	Zhipu AI (China); Tencent (China)	https://doi.org/10.1109/tkde.2025.3632394
106	0.402	core	0.00	0.50	0.14	0.00	Uncovering the Heterogeneous Effects of Preference Diversity on User Activeness: A Dynamic Mixture Model	2022	3	KDD		https://doi.org/10.1145/3534678.3539033
107	0.401	adjacent	0.75	0.00	0.30	0.00	Causal Distillation for Alleviating Performance Heterogeneity in Recommender Systems	2023	15	IEEE TKDE	Alibaba Group (China)	https://doi.org/10.1109/tkde.2023.3290545
108	0.401	adjacent	0.75	0.00	0.30	0.00	Personal or General? A Hybrid Strategy with Multi-factors for News Recommendation	2022	16	ACM TOIS	Huawei Technologies (China)	https://doi.org/10.1145/3555373
109	0.400	core	0.00	0.00	0.45	0.40	Enhancing Recommendation Diversity by Re-ranking with Large Language Models	2024	31	ACM RecSys		https://doi.org/10.1145/3700604
110	0.399	core	0.00	0.25	0.39	0.20	Positive, Negative and Neutral	2022	31	SIGIR		https://doi.org/10.1145/3477495.3532040
111	0.397	adjacent	0.00	0.50	0.85	0.00	Wukong: Towards a Scaling Law for Large-Scale Recommendation	2024	121	ICML		https://doi.org/10.48550/arXiv.2403.02545
112	0.394	core	0.50	0.00	0.00	0.00	Determinantal point process-based new radio unlicensed link scheduling for multi-access edge computing	2022	0	TheWebConf / WWW	Shanghai Fudan Microelectronics (China)	https://doi.org/10.1007/s11280-022-01071-w
113	0.394	adjacent	0.75	0.00	0.29	0.00	Intelligent Online Selling Point Extraction for E-commerce Recommendation	2022	15	AAAI	Jingdong (China)	https://doi.org/10.1609/aaai.v36i11.21501
114	0.392	core	0.00	0.50	0.26	0.00	Personalized Elastic Embedding Learning for On-Device Recommendation	2024	10	IEEE TKDE		https://doi.org/10.1109/tkde.2024.3361562
115	0.392	core	0.00	0.00	0.89	0.00	Cross-View Locality Preserved Diversity and Consensus Learning for Multi-View Unsupervised Feature Selection	2021	212	IEEE TKDE		https://doi.org/10.1109/tkde.2020.3048678
116	0.392	adjacent	0.75	0.00	0.28	0.00	Probing Product Description Generation via Posterior Distillation	2021	14	AAAI	Jingdong (China)	https://doi.org/10.1609/aaai.v35i16.17682
117	0.391	adjacent	0.00	0.25	0.97	0.00	Knowledge Graph Contrastive Learning for Recommendation	2022	454	SIGIR		https://doi.org/10.1145/3477495.3532009
118	0.389	core	0.00	0.00	0.38	0.40	Feature-aware Diversified Re-ranking with Disentangled Representations for Relevant Recommendation	2022	29	KDD		https://doi.org/10.1145/3534678.3539130
119	0.389	adjacent	0.00	0.25	0.93	0.00	Graph Neural Networks for Recommender System	2022	275	WSDM		https://doi.org/10.1145/3488560.3501396
120	0.389	core	0.50	0.00	0.12	0.00	GANPrompt: Improving LLM-Based Recommendations with GAN-Enhanced Diversity Prompts	2025	2	ACM TOIS	Lenovo (China)	https://doi.org/10.1145/3769428
121	0.388	core	0.00	0.50	0.16	0.20	Density-based User Representation using Gaussian Process Regression for Multi-interest Personalized Retrieval	2023	4	NeurIPS		https://doi.org/10.52202/079017-1666
122	0.387	core	0.00	0.25	0.36	0.00	A Privacy Preserving System for Movie Recommendations Using Federated Learning	2023	22	ACM RecSys		https://doi.org/10.1145/3634686
123	0.387	adjacent	0.50	0.50	0.00	0.00	Trimming the Fat: Redundancy-Aware Acceleration Framework for DGNNs	2026	0	AAAI	Zhejiang Energy Group (China); Antea Group (France)	https://doi.org/10.1609/aaai.v40i26.39354
124	0.387	adjacent	0.50	0.50	0.00	0.00	Driving Engagement in Daily Fantasy Sports with a Scalable and Urgency-Aware Ranking Engine	2026	0	AAAI	Dream Laboratory (United Kingdom)	https://doi.org/10.1609/aaai.v40i47.41479
125	0.386	core	0.00	0.00	0.93	0.00	Physics of Language Models: Part 3.1, Knowledge Storage and Extraction	2023	279	ICML		https://doi.org/10.48550/arXiv.2309.14316
126	0.386	adjacent	0.75	0.00	0.24	0.00	Self-Supervised Interest Transfer Network via Prototypical Contrastive Learning for Recommendation	2023	9	AAAI	Alibaba Group (United States)	https://doi.org/10.1609/aaai.v37i4.25584
127	0.386	adjacent	0.00	1.00	0.12	0.00	Direct Routing Gradient (DRGrad): A Personalized Information Surgery for Multi-Task Learning (MTL) Recommendations	2025	2	AAAI		https://doi.org/10.1609/aaai.v39i12.33333
128	0.383	core	0.00	0.00	0.46	0.40	Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations	2022	45	SIGIR		https://doi.org/10.1145/3477495.3532041
129	0.383	core	0.00	0.00	0.83	0.00	Measuring Diversity in Graph Learning: A Unified Framework for Structured Multi-View Clustering	2021	188	IEEE TKDE		https://doi.org/10.1109/tkde.2021.3068461
130	0.383	adjacent	0.00	0.25	1.00	0.00	Bias and Debias in Recommender System: A Survey and Future Directions	2022	607	ACM TOIS		https://doi.org/10.1145/3564284
131	0.382	core	0.00	0.25	0.21	0.20	Do Not Read the Same News! Enhancing Diversity and Personalization of News Recommendation	2022	7	TheWebConf / WWW		https://doi.org/10.1145/3487553.3524936
132	0.382	core	0.00	0.25	0.28	0.20	Determinantal Point Process Likelihoods for Sequential Recommendation	2022	14	SIGIR		https://doi.org/10.1145/3477495.3531965
133	0.380	core	0.00	0.50	0.00	0.00	Bisociative Pivoting as a Method for Moderating User Response to Text Similarity in Next-item News Recommendation	2026	0	ACM RecSys		https://doi.org/10.1145/3808221
134	0.380	core	0.00	0.50	0.00	0.00	SM-RS 2.0: User-perceived Qualities of Single- and Multi-Objective Recommender Systems	2025	0	ACM RecSys		https://doi.org/10.1145/3754459
135	0.380	core	0.00	0.50	0.00	0.00	From Good Intentions to Meaningful Impact: A Design Justice Approach for News Recommendation	2025	0	ACM RecSys		https://doi.org/10.1145/3773037
136	0.380	adjacent	0.75	0.00	0.17	0.00	Beyond Relevance: Factor-level Causal Explanation for User Travel Decisions with Counterfactual Data Augmentation	2024	4	ACM TOIS	Baidu (China)	https://doi.org/10.1145/3653673
137	0.379	adjacent	0.50	0.00	0.32	0.20	Improving Micro-video Recommendation via Contrastive Multiple Interests	2022	18	SIGIR	MediaTek (Singapore)	https://doi.org/10.1145/3477495.3531861
138	0.379	adjacent	0.75	0.00	0.16	0.00	XiYan-SQL: A Novel Multi-Generator Framework for Text-to-SQL	2026	3	IEEE TKDE	Alibaba Group (China)	https://doi.org/10.1109/tkde.2026.3657851
139	0.376	core	0.00	0.00	0.00	0.80	What Course Should I Enroll In Next? Guiding Students Toward Academic Success with Sequential Recommendations	2026	0	ACM RecSys		https://doi.org/10.1145/3789502
140	0.374	core	0.00	0.00	0.77	0.00	Federated Recommender System Based on Diffusion Augmentation and Guided Denoising	2024	88	ACM TOIS		https://doi.org/10.1145/3688570
